,y_test,y_hat,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
12117,1,1,0.11,0.84,6,251,4,0,1,0,technical,low
12794,0,0,0.91,0.88,3,189,2,0,0,0,support,medium
6230,0,0,0.56,0.81,3,165,4,0,0,0,support,low
14772,1,1,0.37,0.53,2,131,3,0,1,0,sales,low
6832,0,0,0.76,0.55,4,250,3,0,0,0,technical,medium
2470,0,0,0.62,0.72,5,180,3,0,0,0,accounting,low
199,1,1,0.77,0.94,5,226,6,0,1,0,support,low
1926,1,1,0.78,0.66,3,164,3,0,1,0,sales,low
11095,0,0,0.87,0.92,4,263,3,0,0,0,management,medium
12593,1,1,0.37,0.54,2,132,3,0,1,0,technical,low
12449,1,1,0.81,0.92,5,239,5,0,1,0,product_mng,low
1323,1,1,0.37,0.52,2,144,3,0,1,0,sales,medium
1305,1,0,0.62,0.77,5,227,4,0,1,0,marketing,low
382,1,1,0.45,0.48,2,144,3,0,1,0,marketing,medium
4768,0,0,0.93,0.96,3,268,4,0,0,0,technical,low
5202,0,0,0.93,0.58,3,215,3,0,0,0,sales,medium
12977,0,0,0.72,0.5,4,164,2,1,0,0,management,low
5932,0,0,0.86,0.63,4,162,2,0,0,0,support,medium
13710,0,0,0.65,0.77,4,205,3,0,0,0,sales,low
5225,0,0,0.33,0.94,4,166,6,0,0,0,technical,low
5910,0,0,0.37,0.37,3,168,3,0,0,0,hr,low
5041,0,0,0.97,0.63,4,151,3,0,0,1,management,medium
5584,0,0,0.23,0.96,2,234,4,0,0,0,sales,medium
613,1,1,0.81,0.97,5,243,5,0,1,0,support,medium
14128,0,0,0.92,0.85,3,151,6,1,0,0,sales,low
13356,0,0,0.56,0.94,3,154,3,1,0,0,support,low
5394,0,0,0.91,0.56,3,168,2,0,0,0,support,medium
7221,0,0,0.78,0.51,3,172,3,0,0,0,technical,medium
8921,0,0,0.72,0.45,4,143,6,0,0,0,product_mng,medium
9854,0,0,0.9,0.77,5,163,3,0,0,0,marketing,medium
6779,0,0,0.31,0.92,5,197,5,0,0,0,IT,low
5317,0,0,0.99,1.0,3,139,2,0,0,0,support,medium
11014,0,0,0.52,0.89,3,188,6,0,0,0,marketing,medium
2146,0,0,0.27,0.59,5,226,5,0,0,0,sales,low
9818,0,0,0.62,0.52,6,253,4,0,0,0,support,medium
1358,1,0,0.29,0.48,2,249,4,0,1,0,IT,medium
4595,0,0,0.87,0.83,4,215,2,0,0,0,sales,high
1913,1,1,0.42,0.57,2,147,3,1,1,0,management,low
1411,1,0,0.32,0.6,2,280,4,0,1,0,technical,low
9177,0,0,0.75,0.56,3,207,3,0,0,0,sales,low
9448,0,0,0.97,0.91,2,112,5,0,0,0,IT,low
180,1,1,0.4,0.47,2,146,3,0,1,0,sales,medium
1843,1,1,0.41,0.49,2,147,3,0,1,0,sales,low
10907,0,0,0.18,0.9,4,282,4,0,0,0,product_mng,medium
10609,0,0,0.75,0.92,3,211,3,0,0,0,sales,medium
6630,0,0,0.82,0.77,3,108,6,0,0,0,product_mng,medium
2371,0,0,0.78,0.98,5,158,2,0,0,0,marketing,medium
2026,0,0,0.56,0.86,4,201,3,1,0,0,technical,medium
6943,0,0,0.88,0.72,4,249,3,1,0,0,RandD,medium
9113,0,0,0.82,0.57,2,158,3,1,0,0,hr,medium
13651,0,0,0.69,0.48,5,232,4,0,0,0,sales,medium
6222,0,0,0.78,0.63,5,200,2,0,0,0,technical,low
1408,1,1,0.39,0.53,2,136,3,0,1,0,hr,low
8873,0,0,0.54,0.64,2,128,2,0,0,0,sales,low
6767,0,0,0.73,0.95,3,149,2,0,0,0,support,low
4945,0,0,0.53,0.98,3,219,4,0,0,0,IT,low
1727,1,1,0.11,0.94,6,266,4,0,1,0,support,low
9013,0,0,0.35,0.78,5,275,4,0,0,0,marketing,low
6400,0,0,0.54,0.67,3,243,2,0,0,0,product_mng,medium
6681,0,0,0.54,0.9,3,164,3,0,0,0,technical,high
3587,0,0,1.0,0.53,3,142,3,0,0,0,sales,low
10397,0,0,0.81,0.84,4,173,4,0,0,0,sales,medium
1231,1,1,0.11,0.98,6,250,4,0,1,0,sales,medium
10184,0,0,0.2,0.87,3,140,6,1,0,0,hr,low
5761,0,0,0.88,0.53,3,188,3,0,0,0,technical,low
4554,0,0,0.92,0.82,4,168,3,0,0,1,support,low
1754,1,1,0.44,0.52,2,137,3,0,1,0,RandD,medium
10509,0,0,0.66,0.56,2,104,3,1,0,0,support,medium
14105,0,0,0.82,0.76,4,266,3,0,0,1,management,high
13235,0,0,0.66,0.58,4,244,3,0,0,0,sales,medium
3488,0,0,0.74,0.62,4,272,2,0,0,0,support,low
8373,0,0,0.7,0.83,4,182,3,0,0,0,support,medium
399,1,1,0.1,0.87,6,250,4,0,1,0,sales,low
3153,0,0,0.21,0.44,4,163,6,0,0,0,sales,high
8275,0,0,0.6,0.88,3,201,2,0,0,0,hr,low
4571,0,0,0.69,0.92,4,149,2,0,0,0,product_mng,medium
6434,0,0,0.6,0.97,3,187,3,1,0,0,sales,medium
4680,0,0,0.55,0.49,5,195,3,0,0,0,sales,low
9201,0,0,1.0,0.89,4,152,3,0,0,0,technical,low
7416,0,0,0.71,0.79,4,261,3,0,0,0,sales,high
13537,0,0,0.82,0.71,3,150,3,0,0,0,support,medium
7004,0,1,0.85,0.87,6,232,6,0,0,0,technical,low
6979,0,0,0.92,0.81,4,206,2,0,0,0,hr,medium
13958,0,0,0.48,0.7,3,213,10,0,0,0,sales,medium
6879,0,1,0.4,1.0,6,206,2,0,0,0,sales,low
12020,1,1,0.11,0.83,6,282,4,0,1,0,sales,low
9976,0,0,0.92,0.48,4,208,3,0,0,0,support,low
4629,0,0,0.9,1.0,2,114,5,0,0,0,support,high
5927,0,0,0.72,0.39,5,111,5,0,0,0,support,low
348,1,1,0.11,0.84,7,264,4,0,1,0,technical,medium
8703,0,0,0.61,0.77,4,195,2,0,0,0,sales,low
7275,0,0,0.6,0.7,3,147,2,0,0,0,sales,low
5149,0,0,0.44,0.36,2,136,3,0,0,0,technical,high
6906,0,0,0.69,0.91,3,167,2,0,0,0,technical,medium
2846,0,0,0.74,0.38,2,126,3,0,0,0,sales,medium
12695,1,1,0.35,0.99,3,236,4,0,1,0,sales,medium
